White	WhiteWin	Draw	BlackWin	Black
S1-S2-Q-A1	19	0	5	G1-S1-A1-Q
S1-S2-Q-A1	17	1	6	G1-G2-A1-Q
S1-S2-G1-Q	15	1	8	S1-S2-G1-Q
S1-S2-G1-Q	8	0	16	S1-A1-Q-A1
S1-S2-A1-Q	19	0	5	S1-S2-B1-Q
S1-Q-S2-S2	12	1	11	G1-S1-B1-Q
S1-Q-S2-S2	13	3	8	G1-Q-G2-B1
S1-Q-S2-A1	18	0	6	S1-B1-B2-Q
S1-Q-S2-A1	14	0	10	G1-B1-Q-B2
S1-Q-A1-A2	19	1	4	S1-M1-B1-Q
S1-Q-A1-A1	17	0	7	S1-B1-B2-Q
S1-Q-A1-A1	10	0	14	G1-B1-B2-Q
S1-G1-A1-Q	22	0	2	G1-L1-Q-B1
S1-G1-A1-Q	17	0	7	G1-B1-G2-Q
S1-B1-B2-Q	4	0	20	S1-A1-Q-A1
S1-A1-Q-A2	22	0	2	G1-B1-A1-Q
S1-A1-Q-A1	13	1	10	B1-S1-Q-B2
S1-A1-Q-A1	20	2	2	A1-G1-Q-B1
G1-Q-G2-B1	7	2	15	G1-Q-A1-A1
G1-Q-B1-B2	13	1	10	S1-A1-Q-A1
G1-Q-A1-A2	21	0	3	G1-S1-Q-B1
G1-Q-A1-A2	19	0	5	B1-G1-B2-Q
G1-G2-A1-Q	6	0	18	S1-A1-Q-A1
G1-B1-Q-B2	11	0	13	S1-A1-Q-A1
G1-B1-G2-Q	8	1	15	S1-Q-A1-A1
G1-A1-Q-B1	10	0	14	S1-S2-Q-A1
G1-A1-Q-B1	6	0	18	S1-Q-S2-S2
G1-A1-Q-A1	17	0	7	G1-Q-G2-B1
B1-S1-S2-Q	4	0	20	S1-A1-Q-A1
B1-G1-Q-B2	5	0	19	G1-Q-A1-A2
B1-G1-A1-Q	6	0	18	G1-Q-A1-A1
B1-A1-Q-B2	8	1	15	G1-Q-S1-S1
B1-A1-G1-Q	10	1	13	S1-Q-A1-A1
A1-A2-Q-B1	8	0	16	G1-A1-Q-A1
A1-A2-B1-Q	4	0	20	G1-Q-S1-S1
A1-A2-B1-Q	10	0	14	B1-Q-A1-A1
S1-S2-G1-Q	12	0	11	S1-S2-B1-Q
S1-Q-S2-S2	14	1	8	S1-G1-B1-Q
S1-Q-S2-S2	12	1	10	G1-G2-B1-Q
S1-Q-B1-B2	6	0	17	G1-Q-A1-A2
S1-Q-A1-A2	19	0	4	S1-G1-G2-Q
S1-Q-A1-A2	19	0	4	M1-B1-B2-Q
S1-G1-Q-A1	12	0	11	G1-B1-B2-Q
S1-G1-A1-Q	11	0	12	S1-A1-Q-B1
S1-B1-Q-B2	7	0	16	G1-Q-A1-A1
S1-B1-Q-A1	11	0	12	G1-A1-B1-Q
S1-A1-Q-B1	4	0	19	G1-A1-Q-A1
S1-A1-Q-A2	18	0	5	G1-A1-Q-B1
S1-A1-Q-A2	18	0	5	G1-A1-G2-Q
S1-A1-B1-Q	4	0	19	S1-Q-S2-S2
S1-A1-A2-Q	12	0	11	S1-S2-G1-Q
S1-A1-A2-Q	19	0	4	S1-G1-A1-Q
S1-A1-A2-Q	18	0	5	G1-B1-B2-Q
Q-A1-A2-A3	16	0	7	S1-B1-B2-Q
M1-A1-Q-B1	4	1	18	S1-A1-Q-A1
M1-A1-B1-Q	3	1	19	S1-Q-A1-A1
G1-S1-Q-A1	15	1	7	S1-B1-B2-Q
